Year,Author,Title,Category
1984,Ellen Gilchrist,Victory Over Japan: A Book of Stories,Fiction
1985,Don DeLillo,White Noise,Fiction
1986,E.L. Doctorow,World's Fair,Fiction
1987,Larry Heinemann,Paco's Story,Fiction
1988,Pete Dexter,Paris Trout,Fiction
1989,John Casey,Spartina,Fiction
1990,Charles Johnson,Middle Passage,Fiction
1991,Norman Rush,Mating,Fiction
1992,Cormac McCarthy,All the Pretty Horses,Fiction
1993,E. Annie Proulx,The Shipping News,Fiction
1994,William Gaddis,A Frolic of His Own,Fiction
1995,Philip Roth,Sabbath's Theater,Fiction
1996,Andrea Barrett,Ship Fever and Other Stories,Fiction
1997,Charles Frazier,Cold Mountain,Fiction
1998,Alice McDermott,Charming Billy,Fiction
1999,Ha Jin,Waiting,Fiction
2000,Susan Sontag,In America,Fiction
2001,Jonathan Franzen,The Corrections,Fiction
2002,Julia Glass,Three Junes,Fiction
2003,Shirley Hazzard,The Great Fire,Fiction
2004,Lily Tuck,The News from Paraguay,Fiction
2005,William T. Vollmann,Europe Central,Fiction
2006,Richard Powers,The Echo Maker,Fiction
2007,Denis Johnson,Tree of Smoke,Fiction
2008,Peter Matthiessen,Shadow Country,Fiction
2009,Colum McCann,Let the Great World Spin,Fiction
2010,Jaimy Gordon,Lord of Misrule,Fiction
2011,Jesmyn Ward,Salvage the Bones,Fiction
2012,Louise Erdrich,The Round House,Fiction
2013,James McBride,The Good Lord Bird,Fiction
2014,Phil Klay,Redeployment,Fiction
2015,Adam Johnson,Fortune Smiles,Fiction
2016,Colson Whitehead,The Underground Railroad,Fiction
2017,Jesmyn Ward,"Sing, Unburied, Sing",Fiction
2018,Sigrid Nunez,The Friend,Fiction
2019,Susan Choi,Trust Exercise,Fiction
2020,Charles Yu,Interior Chinatown,Fiction
2021,Jason Mott,Hell of a Book,Fiction
2022,Tess Gunty,The Rabbit Hutch,Fiction
1984,Robert V. Remini,"Andrew Jackson and the Course of American Democracy, 1833–1845",Nonfiction
1985,J. Anthony Lukas,Common Ground: A Turbulent Decade in the Lives of Three American Families,Nonfiction
1986,Barry Lopez,Arctic Dreams: Imagination and Desire in a Northern Landscape,Nonfiction
1987,Richard Rhodes,The Making of the Atomic Bomb,Nonfiction
1988,Neil Sheehan,A Bright Shining Lie: John Paul Vann and America in Vietnam,Nonfiction
1989,Thomas L. Friedman,From Beirut to Jerusalem,Nonfiction
1990,Ron Chernow,The House of Morgan: An American Banking Dynasty and the Rise of Modern Finance,Nonfiction
1991,Orlando Patterson,"Freedom, Vol. 1: Freedom in the Making of Western Culture",Nonfiction
1992,Paul Monette,Becoming a Man: Half a Life Story,Nonfiction
1993,Gore Vidal,United States: Essays 1952–1992,Nonfiction
1994,Sherwin B. Nuland,How We Die: Reflections on Life's Final Chapter,Nonfiction
1995,Tina Rosenberg,The Haunted Land: Facing Europe's Ghosts After Communism,Nonfiction
1996,James Carroll,"An American Requiem: God, My Father, and the War that Came Between Us",Nonfiction
1997,Joseph J. Ellis,American Sphinx: The Character of Thomas Jefferson,Nonfiction
1998,Edward Ball,Slaves in the Family,Nonfiction
1999,John W. Dower,Embracing Defeat: Japan in the Wake of World War II,Nonfiction
2000,Nathaniel Philbrick,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nonfiction
2001,Andrew Solomon,The Noonday Demon: An Atlas of Depression,Nonfiction
2002,Robert A. Caro,Master of the Senate: The Years of Lyndon Johnson,Nonfiction
2003,Carlos Eire,Waiting for Snow in Havana: Confessions of a Cuban Boy,Nonfiction
2004,Kevin Boyle,"Arc of Justice: A Saga of Race, Civil Rights, and Murder in the Jazz Age",Nonfiction
2005,Joan Didion,The Year of Magical Thinking,Nonfiction
2006,Timothy Egan,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Nonfiction
2007,Tim Weiner,Legacy of Ashes: The History of the CIA,Nonfiction
2008,Annette Gordon-Reed,The Hemingses of Monticello: An American Family,Nonfiction
2009,T. J. Stiles,The First Tycoon: The Epic Life of Cornelius Vanderbilt,Nonfiction
2010,Patti Smith,Just Kids,Nonfiction
2011,Stephen Greenblatt,The Swerve: How the World Became Modern,Nonfiction
2012,Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Nonfiction
2013,George Packer,The Unwinding: An Inner History of the New America,Nonfiction
2014,Evan Osnos,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Nonfiction
2015,Ta-Nehisi Coates,Between the World and Me,Nonfiction
2016,Ibram X. Kendi,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Nonfiction
2017,Masha Gessen,The Future Is History: How Totalitarianism Reclaimed Russia,Nonfiction
2018,Jeffrey C. Stewart,The New Negro: The Life of Alain Locke,Nonfiction
2019,Sarah M. Broom,The Yellow House,Nonfiction
2020,Les Payne and Tamara Payne,The Dead Are Arising: The Life of Malcolm X,Nonfiction
2021,Tiya Miles,"All That She Carried: The Journey of Ashley’s Sack, a Black Family Keepsake",Nonfiction
2022,Imani Perry,South to America: A Journey Below the Mason-Dixon To Understand the Soul of a Nation,Nonfiction
